trait_code,name_en,name_ar,desc_en,desc_ar,refs
P_SIDQ,Truthfulness,الصدق,Consistently speaking and acting with honesty.,الالتزام بالصدق في القول والعمل في جميع الأحوال.,
P_AMAN,Trustworthiness,الأمانة,Being reliable and safeguarding what is entrusted.,الوفاء بالعهود وحفظ ما يُؤتمن عليه.,
P_RAHM,Compassion,الرحمة,Showing gentle care toward people in daily interactions.,التعامل بلطف ورحمة مع الناس في المواقف اليومية.,
P_HILM,Forbearance,الحِلم,Responding calmly even when provoked.,التحلي بالهدوء وضبط النفس عند الاستفزاز.,
P_TAWAD,Humility,التواضع,Remaining modest despite status or achievement.,الابتعاد عن الكِبر مع المحافظة على البساطة.,
P_ADL,Justice,العدل,Acting fairly without favoritism.,التصرف بإنصاف بعيدًا عن التحيز.,
P_SHUKR,Gratitude,الشكر,Expressing appreciation for blessings and people.,إظهار الامتنان للنعم ولجهود الآخرين.,
P_SABR,Patience,الصبر,Enduring hardship with steadiness.,الثبات وتحمل المشقة دون تذمر.,
P_HAYA,Modesty,الحياء,Maintaining dignity and respectful conduct.,التحلي بالوقار والاحترام في السلوك.,
P_WAFA,Loyalty,الوفاء,Honoring commitments and long-term relationships.,الالتزام بالوعود وحفظ العلاقات.,
P_SHURA,Consultation,الشورى,Seeking others’ opinions before major decisions.,الحرص على أخذ المشورة قبل اتخاذ القرارات المهمة.,
P_RIFQ,Gentleness,الرِّفق,Treating others with softness and consideration.,التعامل بلين ومراعاة لمشاعر الآخرين.,
P_JUD,Generosity,الكرم,"Freely giving time, effort, or resources.",البذل بسخاء في الوقت أو المال أو الجهد.,
P_HUSN,Good Character,حسن الخلق,Maintaining kind and respectful behavior.,التحلي بأخلاق طيبة في جميع التعاملات.,
P_TAWAK,Trustful Reliance,التوكل,Balancing effort with inner trust.,الجمع بين السعي والطمأنينة الداخلية.,
P_ITQAN,Excellence,الإتقان,Completing tasks with care and quality.,أداء العمل بإتقان وجودة عالية.,
P_AFU,Forgiveness,العفو,Letting go of resentment and choosing pardon.,التسامح وترك الأذى دون انتقام.,
P_QANA,Contentment,القناعة,Feeling satisfied without constant comparison.,الرضا بما هو متاح دون طمع زائد.,
P_AMAL,Hope,الأمل,Encouraging optimism in difficult times.,نشر التفاؤل حتى في الظروف الصعبة.,
P_HIKM,Wisdom,الحكمة,Using thoughtful judgment in speech and action.,اتخاذ قرارات متزنة قائمة على فهم عميق.,
P_SHJAA,Courage,الشجاعة,Standing firm in challenging moments.,الثبات في المواقف الصعبة دون تردد.,
P_SILAT,Maintaining Ties,صلة الرحم,Strengthening family and close relationships.,الحفاظ على الروابط العائلية وتقويتها.,
P_IHTIR,Respect,الاحترام,Treating everyone with dignity.,التعامل مع الجميع بكرامة وتقدير.,
P_TAFAN,Optimism,التفاؤل,Choosing positive expectations about the future.,تبني نظرة إيجابية تجاه المستقبل.,
P_MURUA,Nobility,المروءة,Acting with honor and high standards.,التصرف بنبل وسمو في المواقف.,
P_MUSA,Helping Others,الإعانة,Supporting others in their needs.,مساعدة الآخرين وتلبية احتياجاتهم قدر المستطاع.,
P_SAKI,Calmness,السكينة,Maintaining inner calm during pressure.,الحفاظ على هدوء داخلي في أوقات الضغط.,
P_WADU,Friendliness,الود,Building warmth and approachability in relationships.,إظهار اللطف وبناء علاقات قائمة على الود.,
P_INSA,Equity,الإنصاف,Ensuring fairness even in personal matters.,الحرص على الإنصاف حتى في الأمور الشخصية.,
P_HUBK,Love of Good,حب الخير,Wanting goodness and benefit for others.,تمني الخير والنفع للآخرين بصدق.,
