quran_value_code,name_en,name_ar,desc_en,desc_ar,refs
Q_TAQWA,God-Conscious Awareness,التقوى,Living with constant awareness of accountability and higher purpose.,العيش بوعي دائم بالمسؤولية والسعي لفعل الصواب.,2:197
Q_ADL,Justice,العدل,Acting with fairness and balance in decisions and relationships.,التصرف بعدل وتوازن في القرارات والعلاقات.,4:135
Q_RAHMA,Compassion,الرحمة,Showing kindness and care toward others in words and actions.,إظهار اللطف والرعاية للناس قولًا وفعلًا.,21:107
Q_SABR,Patience,الصبر,Remaining steady and composed during hardship.,الثبات وضبط النفس عند الشدائد.,2:153
Q_SHUKR,Gratitude,الشكر,Recognizing blessings and expressing appreciation.,إدراك النعم والتعبير عن الامتنان لها.,14:7
Q_SIDQ,Truthfulness,الصدق,Being honest and consistent in speech and behavior.,التحلي بالصدق في القول والعمل.,9:119
Q_AMANA,Trustworthiness,الأمانة,Honoring responsibilities and keeping trusts.,الوفاء بالمسؤوليات وحفظ الحقوق.,23:8
Q_IHSAN,Excellence,الإحسان,Doing things with care and striving for quality.,أداء الأعمال بإتقان والسعي للأفضل.,16:90
Q_HIKMA,Wisdom,الحكمة,Using sound judgment and insight in choices.,اتخاذ قرارات متزنة مبنية على فهم عميق.,2:269
Q_TAWAK,Trustful Reliance,التوكل,Placing trust while taking responsible action.,الجمع بين الثقة والعمل الجاد.,3:159
Q_TAWBA,Self-Return,التوبة,"Reflecting, correcting mistakes, and renewing intention.",مراجعة النفس وتصحيح المسار عند الخطأ.,66:8
Q_TAZKI,Purification,تزكية النفس,Continuous inner growth and self-improvement.,السعي المستمر لتطوير النفس وتنقيتها.,91:9
Q_UKHWA,Brotherhood,الأخوة,Building strong bonds based on care and solidarity.,تعزيز الروابط القائمة على الدعم والتعاون.,49:10
Q_SILAT,Family Bonds,صلة الرحم,Maintaining and honoring family connections.,الحفاظ على الروابط العائلية وتقويتها.,4:1
Q_HURRI,Responsible Freedom,الحرية المسؤولة,Choosing freely while respecting limits and others.,اتخاذ قرارات مستقلة مع مراعاة المسؤولية.,2:256
Q_MIZAN,Balance,الميزان,Maintaining balance in life and actions.,الحرص على التوازن في السلوك والقرارات.,55:7
Q_HAYAA,Modesty,الحياء,Acting with dignity and respectful conduct.,التصرف بوقار واحترام للنفس والآخرين.,
Q_SALAM,Peace,السلام,Seeking harmony and reducing conflict.,السعي لنشر الطمأنينة وتجنب النزاع.,8:61
Q_AFW,Forgiveness,العفو,Letting go of resentment and choosing pardon.,التسامح وترك الأذى الماضي.,24:22
Q_QANA,Contentment,القناعة,Feeling satisfied with what one has.,الرضا بما هو متاح دون مقارنة مستمرة.,
Q_IJTIA,Striving,السعي,Working actively toward meaningful goals.,العمل بجد لتحقيق أهداف ذات قيمة.,53:39
Q_ISTIQ,Steadfastness,الاستقامة,Staying consistent in principles and actions.,الثبات على القيم في مختلف الظروف.,41:30
Q_SHURA,Consultation,الشورى,Seeking advice and valuing shared decisions.,الحرص على التشاور وتقدير آراء الآخرين.,42:38
Q_ADAB,Good Conduct,حسن الخلق,Maintaining respectful and kind behavior.,التحلي بالأخلاق الطيبة في التعامل.,68:4
Q_RIDA,Inner Acceptance,الرضا,Finding calm acceptance during life changes.,القبول الهادئ بتقلبات الحياة.,
Q_ITQAN,Mastery,الإتقان,Striving for quality and thoroughness in work.,السعي لإتمام العمل بدقة وجودة.,
Q_TAARU,Knowing Others,التعارف,Connecting across differences to build understanding.,التواصل مع الآخرين رغم الاختلاف لبناء الفهم.,49:13
Q_AMAL,Hope,الأمل,Maintaining optimism about the future.,الحفاظ على نظرة إيجابية للمستقبل.,39:53
Q_ADLQ,Equity,القسط,Ensuring fairness in distribution and judgment.,الحرص على الإنصاف في التعامل والقرارات.,5:8
Q_SAKI,Tranquility,السكينة,Seeking inner calm and reassurance.,البحث عن الطمأنينة والهدوء الداخلي.,48:4
